Athlete ID,competition_scope,championship,season_note
AT_A._._4643,Regional,Domestic circuit,Auto-tagged for dashboard (replace with real labels when available)
AT_AA_AM_2493,National,International meet,Auto-tagged for dashboard (replace with real labels when available)
AT_AA_AN_4310,International,Domestic circuit,Auto-tagged for dashboard (replace with real labels when available)
AT_AA_BA_4090,International,Selection trials,Auto-tagged for dashboard (replace with real labels when available)
AT_AA_BI_2495,International,International meet,Auto-tagged for dashboard (replace with real labels when available)
AT_AA_CH_0056,International,Domestic circuit,Auto-tagged for dashboard (replace with real labels when available)
AT_AA_DH_2494,National,Domestic circuit,Auto-tagged for dashboard (replace with real labels when available)
AT_AA_GA_0058,Regional,National championships,Auto-tagged for dashboard (replace with real labels when available)
AT_AA_KA_0054,International,National championships,Auto-tagged for dashboard (replace with real labels when available)
AT_AA_KU_4250,International,Selection trials,Auto-tagged for dashboard (replace with real labels when available)
AT_AA_MO_2491,International,National championships,Auto-tagged for dashboard (replace with real labels when available)
AT_AA_PA_0046,International,Selection trials,Auto-tagged for dashboard (replace with real labels when available)
AT_AA_PO_2489,National,Selection trials,Auto-tagged for dashboard (replace with real labels when available)
AT_AA_RA_0042,National,National championships,Auto-tagged for dashboard (replace with real labels when available)
AT_AA_RA_0044,National,Selection trials,Auto-tagged for dashboard (replace with real labels when available)
AT_AA_SA_2488,International,Domestic circuit,Auto-tagged for dashboard (replace with real labels when available)
AT_AA_SA_6184,Regional,National championships,Auto-tagged for dashboard (replace with real labels when available)
AT_AA_SH_0043,National,International meet,Auto-tagged for dashboard (replace with real labels when available)
AT_AA_SH_2496,National,National championships,Auto-tagged for dashboard (replace with real labels when available)
AT_AA_SI_5343,Regional,Selection trials,Auto-tagged for dashboard (replace with real labels when available)
AT_AA_SU_6182,National,International meet,Auto-tagged for dashboard (replace with real labels when available)
AT_AA_SY_7049,National,Selection trials,Auto-tagged for dashboard (replace with real labels when available)
AT_AA_TO_2490,Regional,Domestic circuit,Auto-tagged for dashboard (replace with real labels when available)
AT_AA_TY_0048,Regional,Domestic circuit,Auto-tagged for dashboard (replace with real labels when available)
AT_AA_XX_0050,International,Selection trials,Auto-tagged for dashboard (replace with real labels when available)
AT_AA_XX_0055,International,International meet,Auto-tagged for dashboard (replace with real labels when available)
AT_AA_XX_0057,National,Domestic circuit,Auto-tagged for dashboard (replace with real labels when available)
AT_AA_XX_2492,Regional,National championships,Auto-tagged for dashboard (replace with real labels when available)
AT_AA_XX_3624,Regional,World qualification window,Auto-tagged for dashboard (replace with real labels when available)
AT_AA_XX_6180,International,Domestic circuit,Auto-tagged for dashboard (replace with real labels when available)
AT_AA_YA_0049,National,Selection trials,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_AB_0060,International,Domestic circuit,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_AN_0101,International,World qualification window,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_AT_5351,International,National championships,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_A_0073,National,Selection trials,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_A_2526,Regional,Selection trials,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_A_4331,National,National championships,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_BA_4315,International,International meet,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_BA_6186,International,Selection trials,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_B_0095,International,Selection trials,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_B_0970,National,World qualification window,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_CH_0083,National,World qualification window,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_CH_4313,National,Selection trials,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_CH_4322,International,Selection trials,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_CH_6921,International,Selection trials,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_C_2512,International,Domestic circuit,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_DA_0080,International,Selection trials,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_DA_4321,International,National championships,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_DA_7340,International,Selection trials,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_DE_0014,International,International meet,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_DE_0084,Regional,Domestic circuit,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_DH_2498,National,National championships,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_DR_0085,International,Domestic circuit,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_DU_2903,International,Selection trials,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_FA_0059,National,National championships,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_GU_0062,International,World qualification window,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_GU_6119,International,Domestic circuit,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_HA_5349,International,National championships,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_HE_0094,National,World qualification window,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_JA_0096,Regional,International meet,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_JA_5357,International,Domestic circuit,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_KA_4091,National,National championships,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_KA_4325,Regional,Selection trials,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_KA_6920,Regional,World qualification window,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_KH_0061,National,Domestic circuit,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_KH_2528,International,International meet,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_KH_2529,Regional,National championships,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_KR_6922,Regional,International meet,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_KU_0086,International,International meet,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_KU_2513,Regional,World qualification window,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_KU_2521,Regional,Domestic circuit,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_KU_2522,National,Domestic circuit,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_KU_5537,National,Selection trials,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_KU_6192,International,National championships,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_K_2520,National,International meet,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_M_2517,Regional,Selection trials,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_NA_0087,National,Selection trials,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_NA_2515,Regional,Selection trials,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_NA_2516,Regional,Selection trials,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_NA_6187,National,Domestic circuit,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_NA_6923,Regional,Domestic circuit,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_PA_0063,International,Domestic circuit,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_PA_2523,Regional,Selection trials,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_PA_2524,Regional,World qualification window,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_P_0078,Regional,Selection trials,Auto-tagged for dashboard (replace with real labels when available)
AT_AB_P_0099,International,World qualification window,Auto-tagged for dashboard (replace with real labels when available)
