Athlete ID,Athlete Name,Event Name,Category,Age,Gender,Converted to Standard Units,Mean,Median,Standard Deviation,Best Score,Slope,Qualification Standard,Medal Standard,LR_Mean_Qualify,LR_Mean_Medal,LR_Median_Qualify,LR_Median_Medal,LR_Best_Qualify,LR_Best_Medal,Bayes_Mean_Qualify,Bayes_Mean_Medal,Bayes_Median_Qualify,Bayes_Median_Medal,Bayes_Best_Qualify,Bayes_Best_Medal,RF_Mean_Qualify,RF_Mean_Medal,RF_Median_Qualify,RF_Median_Medal,RF_Best_Qualify,RF_Best_Medal,GB_Mean_Qualify,GB_Mean_Medal,GB_Median_Qualify,GB_Median_Medal,GB_Best_Qualify,GB_Best_Medal,MC_Mean_Qualify,MC_Mean_Medal,MC_Median_Qualify,MC_Median_Medal,MC_Best_Qualify,MC_Best_Medal,cleaning_issues,performance_flag_ok
AT_NA_AG_0001,Nandini Agasara,Women's 100m Hurdles,Track,,Female,"14.010, 13.650, 13.830, 13.380, 13.690",13.712,13.69,0.2330665141113153,13.38,-0.091,12.77,12.34,49.7,40.9,50.1,41.3,55.7,47.1,32.7,23.3,32.7,23.3,32.7,23.3,0.0,0.0,0.0,0.0,0.0,0.0,94.4,94.3,94.4,94.3,94.5,94.4,0.0,0.0,0.0,0.0,1.9,0.0,,True
AT_NA_AG_0001,Nandini Agasara,Women's Heptathlon,Combined,,Female,"5941, 5712",5826.5,5826.5,161.92745289171938,5941.0,-229.0,6480.0,6844.0,20.6,13.9,20.6,13.9,23.6,16.1,23.1,13.9,23.1,13.9,23.1,13.9,0.0,0.0,0.0,0.0,0.0,0.0,93.8,93.5,93.8,93.5,93.9,93.6,0.0,0.0,0.0,0.0,0.0,0.0,,True
AT_NA_AG_0001,Nandini Agasara,Women's High Jump,Jump,,Female,1.61,1.61,1.61,,1.61,,1.97,1.99,19.9,18.6,19.9,18.6,19.9,18.6,28.5,19.0,28.5,19.0,28.5,19.0,95.0,95.0,95.0,95.0,95.0,95.0,93.8,93.7,93.8,93.7,93.8,93.7,0.0,0.0,0.0,0.0,0.0,0.0,,True
AT_NA_AG_0001,Nandini Agasara,Women's Javelin Throw,Throw,,Female,39.88,39.88,39.88,,39.88,,64.0,63.93,3.5,3.5,3.5,3.5,3.5,3.5,28.5,19.0,28.5,19.0,28.5,19.0,0.0,0.0,0.0,0.0,0.0,0.0,91.8,91.8,91.8,91.8,91.8,91.8,0.0,0.0,0.0,0.0,0.0,0.0,,True
AT_NA_AG_0001,Nandini Agasara,Women's Long Jump,Jump,,Female,5.94,5.94,5.94,,5.94,,6.86,6.98,28.6,25.7,28.6,25.7,28.6,25.7,28.5,19.0,28.5,19.0,28.5,19.0,95.0,95.0,95.0,95.0,95.0,95.0,94.0,94.0,94.0,94.0,94.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,,True
AT_NA_AG_0001,Nandini Agasara,Women's Shot Put,Throw,,Female,12.11,12.11,12.11,,12.11,,18.8,19.86,4.3,3.1,4.3,3.1,4.3,3.1,28.5,19.0,28.5,19.0,28.5,19.0,0.0,0.0,0.0,0.0,0.0,0.0,92.1,91.6,92.1,91.6,92.1,91.6,0.0,0.0,0.0,0.0,0.0,0.0,,True
AT_PU_HE_0002,Purnima Hembram,Women's 100m Hurdles,Track,,Female,13.850,13.85,13.85,,13.85,,12.77,12.34,39.4,31.0,39.4,31.0,39.4,31.0,28.5,19.0,28.5,19.0,28.5,19.0,0.0,0.0,0.0,0.0,0.0,0.0,94.2,94.1,94.2,94.1,94.2,94.1,0.0,0.0,0.0,0.0,0.0,0.0,,True
AT_PU_HE_0002,Purnima Hembram,Women's 200m,Track,,Female,25.340,25.34,25.34,,25.34,,22.57,22.08,30.9,26.0,30.9,26.0,30.9,26.0,28.5,19.0,28.5,19.0,28.5,19.0,0.0,0.0,0.0,0.0,0.0,0.0,94.1,94.0,94.1,94.0,94.1,94.0,0.0,0.0,0.0,0.0,0.0,0.0,,True
AT_PU_HE_0002,Purnima Hembram,Women's 800m,Track,,Female,139.090,139.09,139.09,,139.09,,119.3,117.15,22.7,19.2,22.7,19.2,22.7,19.2,28.5,19.0,28.5,19.0,28.5,19.0,0.0,0.0,0.0,0.0,0.0,0.0,93.9,93.7,93.9,93.7,93.9,93.7,0.0,0.0,0.0,0.0,0.0,0.0,,True
AT_PU_HE_0002,Purnima Hembram,Women's Heptathlon,Combined,,Female,5837,5837.0,5837.0,,5837.0,,6480.0,6844.0,36.0,26.1,36.0,26.1,36.0,26.1,28.5,19.0,28.5,19.0,28.5,19.0,0.0,0.0,0.0,0.0,0.0,0.0,94.2,94.0,94.2,94.0,94.2,94.0,0.0,0.0,0.0,0.0,0.0,0.0,,True
AT_PU_HE_0002,Purnima Hembram,Women's High Jump,Jump,,Female,1.73,1.73,1.73,,1.73,,1.97,1.99,31.1,29.3,31.1,29.3,31.1,29.3,28.5,19.0,28.5,19.0,28.5,19.0,95.0,95.0,95.0,95.0,95.0,95.0,94.1,94.1,94.1,94.1,94.1,94.1,0.0,0.0,0.0,0.0,0.0,0.0,,True
AT_PU_HE_0002,Purnima Hembram,Women's Javelin Throw,Throw,,Female,45.48,45.48,45.48,,45.48,,64.0,63.93,7.9,8.0,7.9,8.0,7.9,8.0,28.5,19.0,28.5,19.0,28.5,19.0,0.0,0.0,0.0,0.0,0.0,0.0,92.9,92.9,92.9,92.9,92.9,92.9,0.0,0.0,0.0,0.0,0.0,0.0,,True
AT_PU_HE_0002,Purnima Hembram,Women's Long Jump,Jump,,Female,5.85,5.85,5.85,,5.85,,6.86,6.98,26.1,23.4,26.1,23.4,26.1,23.4,28.5,19.0,28.5,19.0,28.5,19.0,95.0,95.0,95.0,95.0,95.0,95.0,94.0,93.9,94.0,93.9,94.0,93.9,0.0,0.0,0.0,0.0,0.0,0.0,,True
AT_PU_HE_0002,Purnima Hembram,Women's Shot Put,Throw,,Female,12.24,12.24,12.24,,12.24,,18.8,19.86,4.6,3.3,4.6,3.3,4.6,3.3,28.5,19.0,28.5,19.0,28.5,19.0,0.0,0.0,0.0,0.0,0.0,0.0,92.2,91.7,92.2,91.7,92.2,91.7,0.0,0.0,0.0,0.0,0.0,0.0,,True
AT_SW_BA_0003,Swapna Barman,Women's 100m Hurdles,Track,,Female,"13.980, 13.880, 14.070",13.976666666666668,13.98,0.0950438495292216,13.88,0.045,12.77,12.34,25.3,18.9,25.3,18.8,26.7,20.1,23.6,14.2,23.6,14.2,23.6,14.2,95.0,0.0,85.5,0.0,95.0,0.0,93.9,93.7,93.9,93.7,94.0,93.8,0.0,0.0,0.0,0.0,0.0,0.0,,True
AT_SW_BA_0003,Swapna Barman,Women's 200m,Track,,Female,26.080,26.08,26.08,,26.08,,22.57,22.08,24.5,20.2,24.5,20.2,24.5,20.2,28.5,19.0,28.5,19.0,28.5,19.0,0.0,0.0,0.0,0.0,0.0,0.0,93.9,93.8,93.9,93.8,93.9,93.8,0.0,0.0,0.0,0.0,0.0,0.0,,True
AT_SW_BA_0003,Swapna Barman,Women's 800m,Track,,Female,"141.130, 144.140",142.635,142.635,2.128391411371501,141.13,3.01,119.3,117.15,10.3,8.5,10.3,8.5,11.5,9.5,23.4,14.0,23.4,14.0,23.4,14.0,0.0,0.0,0.0,0.0,0.0,0.0,93.2,93.0,93.2,93.0,93.3,93.1,0.0,0.0,0.0,0.0,0.0,0.0,,True
AT_SW_BA_0003,Swapna Barman,Women's Heptathlon,Combined,,Female,"6026, 5708, 5663",5799.0,5708.0,197.87117020930563,6026.0,-181.5,6480.0,6844.0,18.9,12.7,16.8,11.3,25.0,17.0,22.9,13.8,22.9,13.8,23.0,13.8,0.0,0.0,0.0,0.0,0.0,0.0,93.7,93.4,93.6,93.3,93.9,93.6,0.0,0.0,0.0,0.0,0.0,0.0,,True
AT_SW_BA_0003,Swapna Barman,Women's High Jump,Jump,,Female,"1.82, 1.7, 1.83, 1.75",1.775,1.785,0.0613731754650732,1.83,-0.008,1.97,1.99,19.8,18.4,20.6,19.2,24.7,23.0,22.9,13.8,22.9,13.8,23.0,13.8,0.0,0.0,0.0,0.0,0.0,0.0,93.8,93.7,93.8,93.7,93.9,93.9,0.0,0.0,0.2,0.0,0.3,0.1,,True
AT_SW_BA_0003,Swapna Barman,Women's Javelin Throw,Throw,,Female,"50.63, 45.13, 45.98",47.24666666666667,45.98,2.960715003733615,50.63,-2.325,64.0,63.93,3.6,3.6,2.9,2.9,6.1,6.2,22.3,13.4,22.2,13.3,22.4,13.4,0.0,0.0,0.0,0.0,0.0,0.0,91.9,91.9,91.5,91.5,92.6,92.6,0.0,0.0,0.0,0.0,0.0,0.0,,True
AT_SW_BA_0003,Swapna Barman,Women's Long Jump,Jump,,Female,"6.05, 5.71, 5.86",5.873333333333334,5.86,0.1703917055884273,6.05,-0.095,6.86,6.98,14.3,12.6,14.1,12.4,17.9,15.8,23.1,13.8,23.1,13.8,23.1,13.8,0.0,0.0,0.0,0.0,0.0,0.0,93.5,93.4,93.5,93.4,93.7,93.6,0.0,0.0,0.0,0.0,0.0,0.0,,True
AT_SW_BA_0003,Swapna Barman,Women's Shot Put,Throw,,Female,"12.69, 12.27, 11.63",12.196666666666667,12.27,0.5337914698956263,12.69,-0.53,18.8,19.86,1.8,1.3,1.9,1.3,2.4,1.7,22.7,13.6,22.7,13.6,22.8,13.7,0.0,0.0,0.0,0.0,0.0,0.0,90.6,89.8,90.7,89.9,91.2,90.4,0.0,0.0,0.0,0.0,0.0,0.0,,True
AT_TE_SH_0004,Tejaswin Shankar,Men's 100m,Track,27.0,Male,"11.000, 11.120",11.06,11.06,0.0848528137423857,11.0,0.12,10.0,9.79,25.5,21.2,25.5,21.2,26.7,22.3,26.0,15.6,26.0,15.6,26.0,15.6,100.0,42.0,100.0,42.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,True
AT_TE_SH_0004,Tejaswin Shankar,Men's 110m Hurdles,Track,27.0,Male,"14.000, 14.780",14.39,14.39,0.551543289325506,14.0,0.78,13.27,13.09,23.8,21.2,23.8,21.2,29.4,26.4,25.2,15.1,25.2,15.1,25.2,15.1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.1,0.0,0.1,0.0,0.2,0.1,,True
AT_TE_SH_0004,Tejaswin Shankar,Men's 1500m,Track,27.0,Male,16560.000,16560.0,16560.0,,16560.0,,213.5,208.24,0.0,0.0,0.0,0.0,0.0,0.0,31.5,21.0,31.5,21.0,31.5,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500m_range,False
AT_TE_SH_0004,Tejaswin Shankar,Men's 400m,Track,27.0,Male,"49.000, 49.670",49.335,49.335,0.473761543394988,49.0,0.67,45.0,43.44,27.0,19.9,27.0,19.9,28.5,21.2,26.0,15.6,26.0,15.6,26.0,15.6,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,True
AT_TE_SH_0004,Tejaswin Shankar,Men's Decathlon,Combined,27.0,Male,"7618, 7666",7642.0,7642.0,33.94112549695428,7666.0,48.0,8460.0,8748.0,52.2,44.5,52.2,44.5,53.0,45.2,36.6,26.1,36.6,26.1,36.6,26.1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,True
AT_TE_SH_0004,Tejaswin Shankar,Men's Discus Throw,Throw,27.0,Male,"38, 39.28",38.64,38.64,0.9050966799187816,39.28,1.28,67.2,69.97,3.1,2.5,3.1,2.5,3.4,2.7,35.9,25.6,35.9,25.6,35.9,25.6,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,True
AT_TE_SH_0004,Tejaswin Shankar,Men's High Jump,Jump,27.0,Male,"2, 2, 2.21, 2.21, 2.22, 2.21, 2.1",2.1357142857142857,2.21,0.1014654527178492,2.22,0.0261,2.33,2.36,44.5,41.5,53.2,50.0,54.4,51.2,35.0,25.0,35.1,25.0,35.1,25.1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,6.1,2.7,16.1,9.7,22.5,14.5,,True
AT_TE_SH_0004,Tejaswin Shankar,Men's Javelin Throw,Throw,27.0,Male,"52, 51.17",51.585,51.585,0.5868986283848332,52.0,-0.83,85.5,89.45,1.7,1.3,1.7,1.3,1.8,1.4,26.0,15.6,26.0,15.6,26.0,15.6,0.0,0.0,0.0,0.0,0.0,0.0,99.8,99.1,99.8,99.1,99.9,99.3,0.0,0.0,0.0,0.0,0.0,0.0,,True
AT_TE_SH_0004,Tejaswin Shankar,Men's Long Jump,Jump,27.0,Male,"7, 7.37",7.1850000000000005,7.1850000000000005,0.2616295090390223,7.37,0.37,8.27,8.36,35.4,33.2,35.4,33.2,41.1,38.7,35.4,25.3,35.4,25.3,35.4,25.3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.4,0.2,0.1,0.1,2.3,0.9,,True
AT_TE_SH_0004,Tejaswin Shankar,Men's Pole Vault,Jump,27.0,Male,"3, 4.1",3.55,3.55,0.7778174593052021,4.1,1.1,5.82,5.95,2.1,1.8,2.1,1.8,5.2,4.5,28.7,20.5,28.7,20.5,29.8,21.3,0.0,0.0,0.0,0.0,0.0,0.0,100.0,99.9,100.0,99.9,100.0,100.0,6.5,4.8,6.3,4.6,23.1,19.1,,True
